market,code,ex_ch
TSE,2884,tse_2884.tw
TSE,2885,tse_2885.tw
TSE,2886,tse_2886.tw
TSE,2887,tse_2887.tw
TSE,2889,tse_2889.tw
TSE,2890,tse_2890.tw
TSE,2891,tse_2891.tw
TSE,2892,tse_2892.tw
TSE,2903,tse_2903.tw
TSE,2912,tse_2912.tw
TSE,2913,tse_2913.tw
TSE,2915,tse_2915.tw
TSE,2923,tse_2923.tw
TSE,3006,tse_3006.tw
TSE,3008,tse_3008.tw
TSE,3010,tse_3010.tw
TSE,3017,tse_3017.tw
TSE,3033,tse_3033.tw
TSE,3034,tse_3034.tw
TSE,3035,tse_3035.tw
TSE,3036,tse_3036.tw
TSE,3037,tse_3037.tw
TSE,3042,tse_3042.tw
TSE,3045,tse_3045.tw
TSE,3130,tse_3130.tw
TSE,3189,tse_3189.tw
TSE,3209,tse_3209.tw
TSE,3231,tse_3231.tw
TSE,3376,tse_3376.tw
TSE,3406,tse_3406.tw
TSE,3413,tse_3413.tw
TSE,3443,tse_3443.tw
TSE,3450,tse_3450.tw
TSE,3481,tse_3481.tw
TSE,3532,tse_3532.tw
TSE,3576,tse_3576.tw
TSE,3592,tse_3592.tw
TSE,3596,tse_3596.tw
TSE,3605,tse_3605.tw
TSE,3653,tse_3653.tw
TSE,3661,tse_3661.tw
TSE,3665,tse_3665.tw
TSE,3702,tse_3702.tw
TSE,3703,tse_3703.tw
TSE,3704,tse_3704.tw
TSE,3706,tse_3706.tw
TSE,3711,tse_3711.tw
TSE,3714,tse_3714.tw
TSE,3715,tse_3715.tw
TSE,4770,tse_4770.tw
TSE,4904,tse_4904.tw
TSE,4938,tse_4938.tw
TSE,4958,tse_4958.tw
TSE,4961,tse_4961.tw
TSE,5285,tse_5285.tw
TSE,5388,tse_5388.tw
TSE,5469,tse_5469.tw
TSE,5471,tse_5471.tw
TSE,5521,tse_5521.tw
TSE,5608,tse_5608.tw
TSE,5871,tse_5871.tw
TSE,5876,tse_5876.tw
TSE,5880,tse_5880.tw
TSE,6005,tse_6005.tw
TSE,6108,tse_6108.tw
TSE,6116,tse_6116.tw
TSE,6139,tse_6139.tw
TSE,6141,tse_6141.tw
TSE,6213,tse_6213.tw
TSE,6214,tse_6214.tw
TSE,6239,tse_6239.tw
TSE,6257,tse_6257.tw
TSE,6269,tse_6269.tw
TSE,6271,tse_6271.tw
TSE,6278,tse_6278.tw
TSE,6282,tse_6282.tw
TSE,6285,tse_6285.tw
TSE,6409,tse_6409.tw
TSE,6414,tse_6414.tw
TSE,6415,tse_6415.tw
TSE,6442,tse_6442.tw
TSE,6443,tse_6443.tw
TSE,6446,tse_6446.tw
TSE,6451,tse_6451.tw
TSE,6505,tse_6505.tw
TSE,6531,tse_6531.tw
TSE,6669,tse_6669.tw
TSE,6672,tse_6672.tw
TSE,6770,tse_6770.tw
TSE,6831,tse_6831.tw
TSE,6919,tse_6919.tw
TSE,7769,tse_7769.tw
TSE,7827,tse_7827.tw
TSE,8021,tse_8021.tw
TSE,8028,tse_8028.tw
TSE,8039,tse_8039.tw
TSE,8046,tse_8046.tw
TSE,8070,tse_8070.tw
TSE,8105,tse_8105.tw
TSE,8112,tse_8112.tw
TSE,8150,tse_8150.tw
